epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0613,2.52905,3.78745,2.42522,0.55646,0.08848,0.06354,0.02822,2.44538,3.05417,2.35583,0.000300772,0.000300772,0.000300772
2,58.6302,2.33407,3.18921,2.24184,0.54384,0.13267,0.07454,0.02925,2.44546,3.07287,2.40934,0.000600093,0.000600093,0.000600093
3,87.9374,2.27409,3.05653,2.2283,0.29967,0.15858,0.08679,0.0351,2.37852,2.94444,2.33854,0.000884804,0.000884804,0.000884804
4,118.292,2.21421,2.89203,2.18554,0.32903,0.11314,0.07036,0.0295,2.3709,3.03374,2.42915,0.000859958,0.000859958,0.000859958
5,149.817,2.13935,2.77946,2.14072,0.38709,0.15501,0.11777,0.05238,2.29236,2.72494,2.21971,0.000823066,0.000823066,0.000823066
6,180.434,2.06183,2.65006,2.07555,0.44054,0.18999,0.14718,0.06587,2.18445,2.57238,2.18002,0.000777211,0.000777211,0.000777211
7,211.984,2.02546,2.55356,2.03351,0.42844,0.20482,0.16156,0.07775,2.11275,2.45607,2.07939,0.000723522,0.000723522,0.000723522
8,243.256,1.95456,2.46864,1.9948,0.43137,0.22504,0.18998,0.09121,2.02937,2.42364,2.04126,0.00066332,0.00066332,0.00066332
9,274.627,1.90846,2.36185,1.93737,0.46969,0.24202,0.2055,0.09646,2.01226,2.37448,2.05718,0.000598089,0.000598089,0.000598089
10,306.536,1.85598,2.3079,1.89455,0.46188,0.25824,0.22808,0.11398,1.95142,2.29619,1.97116,0.000529433,0.000529433,0.000529433
11,369.959,1.79503,2.15919,1.84306,0.50108,0.26932,0.23622,0.11751,1.94706,2.281,1.94063,0.000459045,0.000459045,0.000459045
12,409.007,1.75713,2.08499,1.81395,0.51996,0.28143,0.25277,0.12819,1.91933,2.20486,1.94404,0.000388657,0.000388657,0.000388657
13,447.193,1.70081,1.99303,1.77095,0.52875,0.29738,0.27233,0.1445,1.84805,2.16102,1.87637,0.000320001,0.000320001,0.000320001
14,483.675,1.68096,1.94139,1.7485,0.49906,0.33599,0.28747,0.15328,1.84476,2.14885,1.87758,0.00025477,0.00025477,0.00025477
15,517.751,1.62486,1.86704,1.70876,0.53213,0.31891,0.2863,0.15862,1.7942,2.06387,1.83368,0.000194568,0.000194568,0.000194568
16,549.294,1.58927,1.83063,1.68497,0.53984,0.31371,0.29513,0.16386,1.80446,2.06203,1.83731,0.000140879,0.000140879,0.000140879
17,581.023,1.55723,1.78472,1.65562,0.54177,0.31026,0.29633,0.16882,1.77347,2.03157,1.80716,9.50238e-05,9.50238e-05,9.50238e-05
18,612.147,1.53881,1.75091,1.64656,0.52766,0.33283,0.30935,0.17513,1.77615,2.01894,1.80885,5.81322e-05,5.81322e-05,5.81322e-05
19,643.976,1.51878,1.71278,1.62798,0.54365,0.3308,0.31005,0.17708,1.75919,2.01521,1.80218,3.11124e-05,3.11124e-05,3.11124e-05
20,675.643,1.50302,1.7024,1.61744,0.53907,0.33558,0.31261,0.17919,1.75511,2.00817,1.7977,1.46297e-05,1.46297e-05,1.46297e-05
